timestamp,open,high,low,close,volume
2021-04-30 19:45:00,113.0584,113.0584,113.0265,113.0265,1274
2021-04-30 19:30:00,113.0265,113.0265,113.0265,113.0265,523
2021-04-30 19:15:00,113.0584,113.0584,113.0425,113.0425,941
2021-04-30 18:45:00,113.0584,113.0584,112.9469,112.9469,313
2021-04-30 16:45:00,112.9867,113.0743,112.9867,113.0743,344
2021-04-30 16:00:00,112.9708,113.2097,112.3497,113.2097,1317717
2021-04-30 15:45:00,112.9549,113.0982,112.8275,112.9947,494187
2021-04-30 15:30:00,113.1301,113.2256,112.9390,112.9628,328365
2021-04-30 15:15:00,112.9230,113.1380,112.9071,113.1301,131401
2021-04-30 15:00:00,112.9469,113.0186,112.8912,112.9230,96525
2021-04-30 14:45:00,112.9071,113.0784,112.8832,112.9310,118253
2021-04-30 14:30:00,112.7877,112.9270,112.7160,112.9121,74645
2021-04-30 14:15:00,112.6153,112.7877,112.5488,112.7797,63600
2021-04-30 14:00:00,112.4851,112.6244,112.4612,112.6205,62688
2021-04-30 13:45:00,112.6921,112.6921,112.4591,112.4851,71206
2021-04-30 13:30:00,112.7200,112.7491,112.6324,112.7080,49825
2021-04-30 13:15:00,112.5727,112.7320,112.4931,112.7240,324399
2021-04-30 13:00:00,112.4254,112.5647,112.3497,112.5568,45520
2021-04-30 12:45:00,112.4532,112.5090,112.3577,112.4254,64747
2021-04-30 12:30:00,112.5488,112.5806,112.4373,112.4532,53165
2021-04-30 12:15:00,112.5169,112.5806,112.4055,112.5488,60399
2021-04-30 12:00:00,112.5249,112.5488,112.4161,112.5050,67110
2021-04-30 11:45:00,112.2024,112.6045,112.1984,112.5344,202213
2021-04-30 11:30:00,112.3577,112.3577,112.0392,112.1972,140103
2021-04-30 11:15:00,112.3497,112.5169,112.2701,112.3626,129439
2021-04-30 11:00:00,112.2702,112.4055,112.0961,112.3577,733399
2021-04-30 10:45:00,112.0392,112.3020,111.9755,112.2781,245011
2021-04-30 10:30:00,112.4931,112.4931,111.9436,112.0472,469333
2021-04-30 10:15:00,112.2303,112.6523,111.9118,112.5329,602805
2021-04-30 10:00:00,112.8275,112.8514,111.9914,112.2383,741137
2021-04-30 09:45:00,113.3610,113.4008,112.8036,112.8195,334548
2021-04-30 09:30:00,114.4200,114.5235,113.3331,113.3530,298183
2021-04-30 09:15:00,114.5792,114.5792,114.5792,114.5792,209
2021-04-30 09:00:00,114.3085,114.3085,114.3085,114.3085,418
2021-04-30 08:45:00,114.3085,114.3085,114.3085,114.3085,183
2021-04-30 08:30:00,114.6111,114.6111,114.6111,114.6111,104
2021-04-30 08:15:00,114.6111,114.6111,114.6111,114.6111,732
2021-04-30 08:00:00,114.2907,114.2907,114.2907,114.2907,1255
2021-04-30 07:30:00,114.6349,114.6509,114.6349,114.6509,209
2021-04-29 19:30:00,114.6748,114.6748,114.6588,114.6588,1166
2021-04-29 18:00:00,114.8101,114.8101,114.8101,114.8101,209
2021-04-29 16:45:00,114.7783,114.7783,114.7783,114.7783,1046
2021-04-29 16:30:00,114.8260,114.8499,114.8260,114.8499,361
2021-04-29 16:15:00,114.8420,114.8420,114.8420,114.8420,209
2021-04-29 16:00:00,114.8897,114.8897,114.8420,114.8659,603855
2021-04-29 15:45:00,114.8818,115.0251,114.7066,114.8579,276897
2021-04-29 15:30:00,114.7703,114.9374,114.7345,114.8818,131888
2021-04-29 15:15:00,114.8619,114.9216,114.7464,114.7623,109226
2021-04-29 15:00:00,114.7862,114.9296,114.7862,114.8579,74690
2021-04-29 14:45:00,114.8340,114.9694,114.7066,114.7862,106549
2021-04-29 14:30:00,114.6827,114.8260,114.6588,114.8260,59902
2021-04-29 14:15:00,114.6628,114.7305,114.5792,114.6756,85641
2021-04-29 14:00:00,114.4677,114.6668,114.4438,114.6628,79163
2021-04-29 13:45:00,114.5075,114.5872,114.3742,114.4372,55178
2021-04-29 13:30:00,114.4040,114.5155,114.3483,114.5115,70577
2021-04-29 13:15:00,114.2687,114.4200,114.2209,114.3881,93172
2021-04-29 13:00:00,114.2448,114.3165,114.1691,114.2687,52291
2021-04-29 12:45:00,114.2050,114.3563,114.1134,114.2408,194409
2021-04-29 12:30:00,114.1174,114.2448,114.0617,114.1970,43589
2021-04-29 12:15:00,113.9263,114.1413,113.8788,114.1333,67910
2021-04-29 12:00:00,114.1891,114.2368,113.8546,113.9263,62117
2021-04-29 11:45:00,113.9343,114.2752,113.9343,114.1970,113008
2021-04-29 11:30:00,113.9104,114.0378,113.8546,113.9223,79844
2021-04-29 11:15:00,114.0617,114.1094,113.8467,113.9104,103965
2021-04-29 11:00:00,114.1094,114.2368,114.0537,114.0537,75872
2021-04-29 10:45:00,114.1254,118.4330,114.0277,114.1254,187720
2021-04-29 10:30:00,114.3324,114.3403,114.0696,114.1333,95356
2021-04-29 10:15:00,114.4757,114.5235,114.2608,114.2846,75849
2021-04-29 10:00:00,114.5951,114.6986,114.4757,114.4757,147586
2021-04-29 09:45:00,114.8115,115.1764,114.5633,114.5792,190153
2021-04-29 09:30:00,114.7623,115.1764,114.4821,114.8101,301579
2021-04-29 09:15:00,114.5155,114.7783,114.4016,114.7783,2338
2021-04-29 09:00:00,114.4996,114.4996,114.4996,114.4996,1142
2021-04-29 08:45:00,114.5552,114.5552,114.4040,114.4040,2853
2021-04-29 08:30:00,114.5657,114.5657,114.3801,114.3801,470
2021-04-29 08:15:00,114.3801,114.5792,114.3403,114.5792,455
2021-04-29 08:00:00,114.2607,114.3801,114.2607,114.3801,1046
2021-04-29 07:45:00,114.3005,114.3005,114.3005,114.3005,104
2021-04-29 07:15:00,114.3881,114.3881,114.3005,114.3005,4819
2021-04-29 07:00:00,114.4279,114.4757,114.3801,114.3801,1761
2021-04-29 06:45:00,114.3881,114.3881,114.3881,114.3881,219
2021-04-29 06:00:00,114.4996,114.4996,114.4996,114.4996,209
2021-04-29 05:30:00,114.3403,114.3403,114.3403,114.3403,1255
2021-04-29 05:00:00,114.3881,114.3881,114.3881,114.3881,972
2021-04-29 04:45:00,114.3881,114.3881,114.3881,114.3881,104
2021-04-29 04:30:00,114.4200,114.4200,114.4040,114.4040,1150
2021-04-28 19:45:00,113.7750,113.7750,113.7750,113.7750,104
2021-04-28 18:15:00,113.8307,113.8307,113.8307,113.8307,104
2021-04-28 18:00:00,113.8626,113.8626,113.8626,113.8626,104
2021-04-28 17:45:00,113.8944,113.8944,113.7670,113.7670,405
2021-04-28 17:15:00,113.7830,113.7830,113.7830,113.7830,986
2021-04-28 17:00:00,113.8626,113.8626,113.8626,113.8626,209
2021-04-28 16:45:00,113.9422,113.9422,113.8626,113.8626,470
2021-04-28 16:30:00,113.7909,114.0537,113.7830,113.7830,907
2021-04-28 16:15:00,114.0537,114.0537,114.0537,114.0537,104
2021-04-28 16:00:00,113.9024,113.9024,113.7989,113.7989,580116
2021-04-28 15:45:00,113.9292,114.0855,113.8069,113.8865,532850
2021-04-28 15:30:00,113.8148,113.9820,113.7591,113.9263,97561
2021-04-28 15:15:00,113.7193,113.8785,113.7113,113.8148,60073
2021-04-28 15:00:00,113.7830,113.9183,113.6237,113.7193,86033
2021-04-28 14:45:00,113.9741,114.0359,113.7670,113.8148,71896
2021-04-28 14:30:00,113.7830,114.0656,113.7415,113.9820,91983
2021-04-28 14:15:00,113.9263,113.9502,113.7511,113.7830,46752
2021-04-28 14:00:00,113.9024,114.1094,113.8228,113.9263,70108
2021-04-28 13:45:00,114.0059,114.0617,113.8307,113.8916,49819
2021-04-28 13:30:00,114.1652,114.1771,114.0218,114.0218,47045
2021-04-28 13:15:00,114.0855,114.1811,114.0776,114.1651,45043
2021-04-28 13:00:00,114.0417,114.1054,114.0342,114.0855,38616
2021-04-28 12:45:00,114.0378,114.0935,113.9741,114.0457,38369
2021-04-28 12:30:00,113.9900,114.0537,113.9661,114.0378,54423
2021-04-28 12:15:00,113.8865,114.0617,113.8785,113.9900,46674
2021-04-28 12:00:00,113.9183,114.0139,113.8626,113.9024,46216
2021-04-28 11:45:00,113.9024,113.9980,113.8626,113.9104,58806
2021-04-28 11:30:00,114.0935,114.1094,113.8546,113.8694,69045
2021-04-28 11:15:00,113.9661,114.0935,113.9343,114.0935,69029
2021-04-28 11:00:00,113.8586,114.1333,113.8148,113.9661,88698
2021-04-28 10:45:00,113.8228,114.0139,113.8228,113.8586,99604
2021-04-28 10:30:00,113.3968,113.8228,113.3689,113.8148,111943
2021-04-28 10:15:00,113.2336,113.3928,113.1619,113.3928,73278
2021-04-28 10:00:00,113.3172,113.4485,113.1460,113.2176,87762
2021-04-28 09:45:00,113.4724,113.5259,113.2415,113.3052,77730
2021-04-28 09:30:00,113.7989,113.7989,113.2336,113.5043,249815
2021-04-28 09:15:00,113.2654,113.8546,113.2654,113.8546,1046
2021-04-28 09:00:00,113.4724,113.4724,113.4724,113.4724,418
2021-04-28 08:45:00,113.3928,113.4724,113.3928,113.4645,630
2021-04-28 07:00:00,113.0982,113.0982,113.0982,113.0982,1008
2021-04-27 19:45:00,113.2813,113.2813,113.2574,113.2574,793
2021-04-27 18:45:00,113.3291,113.3291,113.3291,113.3291,732
2021-04-27 18:15:00,113.3848,113.3848,113.3848,113.3848,209
